Iteration	HPWL	Cost	Moves	T
START	64682	21858.4	0	5000
1	64497.5	22581.2	1565	5000
2	65497	22761.3	1563	4750
3	67297	24079.3	1563	4512.5
4	65363.5	22681.3	1562	4286.88
5	66202.5	23232.3	1564	4072.53
6	65870.5	23013	1564	3868.9
7	64655.5	22488.9	1563	3675.46
8	66636.5	23202.9	1563	3491.69
9	65817	22737.6	1566	3317.1
10	64554	22857.5	1561	3151.25
11	66901	23701.2	1562	2993.68
12	64444	22525.2	1564	2844
13	65435.5	22842.6	1565	2701.8
14	65791	22869.4	1561	2566.71
15	65427	22740.3	1560	2438.37
16	65585	23106.9	1557	2316.46
17	65748	22936.3	1558	2200.63
18	64940	22514.4	1562	2090.6
19	65389	22968.3	1564	1986.07
20	65437	22922.8	1558	1886.77
21	67657	23309.5	1563	1792.43
22	63382.5	22047.2	1561	1702.81
23	65515.5	22926.4	1557	1617.67
24	65440.5	23023.6	1561	1536.78
25	64759.5	22919.1	1559	1459.95
26	66252.5	23446.8	1558	1386.95
27	64768.5	23001.6	1553	1317.6
28	65595.5	23090.1	1557	1251.72
29	67140	23553.5	1561	1189.13
30	65358.5	22819.5	1556	1129.68
31	65867	23031.9	1561	1073.19
32	65307.5	23043.6	1553	1019.53
33	63133.5	21832.8	1557	968.557
34	64225	22200.2	1557	920.13
35	65188	22608.7	1557	874.123
36	65324.5	23128.5	1554	830.417
37	64942	22914	1558	788.896
38	65045	22565.8	1557	749.451
39	65533	22732.2	1551	711.979
40	63996	22051.6	1549	676.38
41	66236.5	23262.5	1551	642.561
42	67214	23575.7	1550	610.433
43	65587	23027.7	1551	579.911
44	65418	22817.4	1544	550.916
45	64579.5	22486	1548	523.37
46	64990	22968.3	1551	497.201
47	63835	22222.8	1545	472.341
48	65089	22838.4	1536	448.724
49	64922.5	22389.5	1545	426.288
50	64140.5	22573.8	1543	404.974
51	64492.5	22659.5	1537	384.725
52	65784.5	22847.5	1532	365.489
53	64608.5	22474.8	1537	347.214
54	64860	22889.4	1539	329.853
55	65282	22557.1	1531	313.361
56	65390.5	22689.4	1537	297.693
57	64905	22563.8	1532	282.808
58	67454.5	23548	1533	268.668
59	64931	22631.4	1525	255.234
60	64645.5	22446	1526	242.473
61	65038.5	22663.6	1516	230.349
62	63816.5	22576.3	1513	218.832
63	63827	22200.4	1513	207.89
64	63789.5	22109.4	1514	197.495
65	64158	22140.1	1498	187.621
66	64377.5	22325.7	1517	178.24
67	64227	22340.4	1514	169.328
68	65198.5	22611.9	1499	160.861
69	64655	22588.5	1498	152.818
70	64630.5	22521.3	1497	145.177
71	63725.5	22170	1496	137.918
72	64385	22647.2	1483	131.023
73	63040.5	22004.4	1490	124.471
74	65082.5	22437.5	1471	118.248
75	63397	21931.8	1485	112.335
76	62824	21700	1466	106.719
77	62313.5	21606.8	1465	101.383
78	64271	22413.4	1457	96.3136
79	64602.5	22333.3	1455	91.4979
80	62910	21965.2	1448	86.923
81	63394	22050.6	1435	82.5769
82	63597.5	22351	1443	78.448
83	62235	21563.2	1423	74.5256
84	63157.5	21820	1431	70.7993
85	62992	21870.1	1427	67.2594
86	62227.5	21401.4	1400	63.8964
87	62347.5	21636.9	1399	60.7016
88	62702.5	21823.2	1389	57.6665
89	62526	21610.6	1393	54.7832
90	61732	21432.3	1379	52.044
91	61264	21152.2	1391	49.4418
92	61106	21084.9	1370	46.9697
93	61106.5	21144.9	1350	44.6212
94	61140	21115	1326	42.3902
95	61441	21225.3	1335	40.2707
96	62592	21670.3	1321	38.2571
97	60891.5	21100.3	1328	36.3443
98	59411.5	20696.2	1281	34.5271
99	60779	21026.7	1279	32.8007
100	61223	21159.9	1273	31.1607
101	59818.5	20698.6	1246	29.6026
102	59427	20541.3	1217	28.1225
103	60083.5	20738.2	1214	26.7164
104	59317.5	20588.2	1216	25.3806
105	59101	20483.4	1204	24.1115
106	59368.5	20483.8	1159	22.906
107	58401.5	20193.8	1146	21.7607
108	57512	19926.9	1123	20.6726
109	56852	19768.8	1064	19.639
110	57135	19754	1062	18.6571
111	57567.5	19963.5	1037	17.7242
112	56483.5	19618.3	1056	16.838
113	56291.5	19540.8	1033	15.9961
114	56214	19577.4	1032	15.1963
115	55422	19220.1	980	14.4365
116	55078	19116.9	963	13.7146
117	53351	18618.8	880	13.0289
118	53327	18591.6	914	12.3775
119	53446	18607.3	883	11.7586
120	52129.5	18252.3	850	11.1707
121	51546	18017.4	817	10.6121
122	51318	17929	764	10.0815
123	49764	17462.8	730	9.57745
124	49489	17400.3	710	9.09858
125	49978.5	17527.2	675	8.64365
126	49440	17325.8	657	8.21147
127	48584	17068.9	633	7.80089
128	47591.5	16811.1	623	7.41085
129	46997.5	16613	607	7.04031
130	46116	16308.6	523	6.68829
131	45508	16126.2	480	6.35388
132	44505	15805.4	458	6.03618
133	44260.5	15732	406	5.73437
134	43904.5	15625.2	416	5.44765
135	43513	15507.8	425	5.17527
136	42954	15340	388	4.91651
137	42172	15105.5	373	4.67068
138	41565.5	14923.5	349	4.43715
139	40805.5	14695.5	343	4.21529
140	40036	14484.6	313	4.00453
141	38802.5	14094.6	325	3.8043
142	38615.5	14038.5	268	3.61408
143	37694	13762	259	3.43338
144	36712.5	13467.6	236	3.26171
145	35824	13201	222	3.09863
146	35380	13067.9	202	2.94369
147	34861.5	12892.3	198	2.79651
148	34277.5	12717.1	183	2.65668
149	33648	12528.3	201	2.52385
150	33332	12433.5	184	2.39766
151	32507.5	12186.1	178	2.27777
152	32181	12088.2	158	2.16389
153	31466	11873.7	150	2.05569
154	31109	11766.6	159	1.95291
155	30589	11610.6	157	1.85526
156	30165.5	11463.6	131	1.7625
157	29881.5	11378.4	99	1.67437
158	29431.5	11243.4	108	1.59066
159	29078.5	11137.5	100	1.51112
160	28629.5	11002.8	100	1.43557
161	28344	10917.1	103	1.36379
162	27972.5	10805.7	99	1.2956
163	27732	10733.5	92	1.23082
164	27413	10637.8	94	1.16928
165	27074	10536.1	86	1.11081
166	26822.5	10460.7	86	1.05527
167	26629.5	10402.8	77	1.00251
