Iteration	HPWL	Cost	Moves	T
START	90477	30189.5	0	5000
1	95428	33287.6	1738	5000
2	93826.5	32180	1740	4750
3	95336	33013.6	1739	4512.5
4	95440	32708.8	1736	4286.88
5	95412.5	32476.5	1737	4072.53
6	95019.5	32493	1738	3868.9
7	94909	33019.9	1736	3675.46
8	93853	32120.7	1735	3491.69
9	92154	31655.8	1733	3317.1
10	95335	33304.5	1737	3151.25
11	94684.5	32840.5	1730	2993.68
12	93139	32018.5	1735	2844
13	93603	32269.7	1735	2701.8
14	93267	32034.5	1735	2566.71
15	94580.5	32719.7	1736	2438.37
16	94902.5	32659.5	1736	2316.46
17	95076	32801.2	1736	2200.63
18	94102	32217.8	1733	2090.6
19	94800	32763.2	1734	1986.07
20	93862.5	32504.3	1728	1886.77
21	94504	32428	1733	1792.43
22	94183.5	32287	1732	1702.81
23	95768	32605.6	1730	1617.67
24	94920	33202.4	1735	1536.78
25	93355.5	32419.4	1732	1459.95
26	94875	32584.1	1730	1386.95
27	94902	32883.4	1728	1317.6
28	93757.5	31957.7	1731	1251.72
29	94274	32717.4	1730	1189.13
30	93426	31970.2	1727	1129.68
31	93164.5	32093.3	1724	1073.19
32	93830.5	32494.7	1733	1019.53
33	95281	32325.1	1726	968.557
34	94660.5	32407.7	1727	920.13
35	93498.5	32126.3	1719	874.123
36	94424	32023.2	1726	830.417
37	95790.5	32701.9	1726	788.896
38	95095.5	32807	1725	749.451
39	94222.5	32410.8	1731	711.979
40	94456	32301.6	1712	676.38
41	96261.5	33000.1	1714	642.561
42	94131	32540.1	1716	610.433
43	94826.5	32547.2	1717	579.911
44	94466	32237.4	1711	550.916
45	94793.5	32402.8	1713	523.37
46	94860.5	32714.1	1717	497.201
47	94895.5	32791.8	1718	472.341
48	93459	32674.5	1720	448.724
49	94600.5	32613.7	1715	426.288
50	93337	31741.9	1707	404.974
51	94097.5	32507.7	1708	384.725
52	93460.5	31980.5	1700	365.489
53	92464	31704	1704	347.214
54	93738.5	32153.5	1697	329.853
55	92019.5	31503.4	1692	313.361
56	92711	31733.3	1691	297.693
57	94379.5	32211.4	1675	282.808
58	93286	32376.2	1707	268.668
59	93250	31962.2	1686	255.234
