Iteration	HPWL	Cost	Moves	T
START	6152.5	2538.75	0	5000
1	6512	3024.6	274	5000
2	6628	2975.4	273	4750
3	6859	3181.2	271	4512.5
4	6479	3014.7	274	4286.88
5	6888	3389.4	273	4072.53
6	6300.5	3024.15	274	3868.9
7	6735.5	3196.65	266	3675.46
8	6887.5	3294.75	271	3491.69
9	6194.5	3065.85	273	3317.1
10	6739.5	3029.85	269	3151.25
11	6379.5	2858.85	275	2993.68
12	6697	3059.1	270	2844
13	6495.5	3103.65	269	2701.8
14	6572	3011.1	269	2566.71
15	6578	3086.4	268	2438.37
16	6898.5	3350.55	273	2316.46
17	6555.5	2995.65	271	2200.63
18	6150.5	2874.15	270	2090.6
19	6073	2787.9	272	1986.07
20	5763.5	2611.05	271	1886.77
21	6356.5	2956.95	266	1792.43
22	6500.5	3126.15	272	1702.81
23	6664.5	2965.35	267	1617.67
24	6789	3118.2	273	1536.78
25	6140	2787	263	1459.95
26	6313.5	2912.55	265	1386.95
27	6179	2767.2	266	1317.6
28	6599	2977.2	263	1251.72
29	6386	2955.3	269	1189.13
30	6148.5	2747.55	263	1129.68
31	6318	2903.4	261	1073.19
32	6513	2961.9	259	1019.53
33	6236	2962.8	257	968.557
34	6312	2933.1	260	920.13
35	6355.5	2830.65	258	874.123
36	6412	2868.6	265	830.417
37	6278.5	2765.55	260	788.896
38	6485.5	2964.15	255	749.451
39	6529	3092.7	261	711.979
40	6283	2882.4	265	676.38
41	6092	2730.6	248	642.561
42	6501	2895.3	251	610.433
43	6270	2836.5	247	579.911
44	6125.5	2751.15	252	550.916
45	6167.5	2753.25	252	523.37
46	6164	2720.7	244	497.201
47	6110	2610	235	472.341
48	6120	2739	241	448.724
49	6265	2793	249	426.288
50	6141	2629.8	238	404.974
51	5943.5	2602.05	253	384.725
52	5863	2577.9	234	365.489
53	6063.5	2701.05	232	347.214
54	5988	2615.4	236	329.853
55	6138	2723.4	230	313.361
56	5868	2568.9	237	297.693
57	6109.5	2714.85	232	282.808
58	5955	2584.5	228	268.668
59	5856.5	2544.45	225	255.234
60	6289.5	2789.85	234	242.473
61	6197	2720.1	232	230.349
62	5793.5	2525.55	216	218.832
63	6038	2588.4	205	207.89
64	5741	2499.3	214	197.495
65	5354	2383.2	196	187.621
66	5709.5	2468.85	206	178.24
67	5867	2516.1	211	169.328
68	5903	2547.9	217	160.861
69	5663.5	2434.05	196	152.818
70	5622	2463.6	192	145.177
71	5684	2440.2	182	137.918
72	5916.5	2562.45	191	131.023
73	5576.5	2449.95	194	124.471
74	5522	2391.6	192	118.248
75	5480.5	2400.15	179	112.335
76	5413	2400.9	169	106.719
77	5561.5	2445.45	174	101.383
78	5398.5	2365.05	166	96.3136
79	5202	2306.1	156	91.4979
80	5626	2433.3	161	86.923
81	5418.5	2360.55	161	82.5769
82	5533.5	2416.05	142	78.448
83	5261	2302.8	159	74.5256
84	5426	2341.8	148	70.7993
85	5213	2298.9	148	67.2594
86	5179	2288.7	138	63.8964
87	5119.5	2249.85	133	60.7016
88	5149.5	2258.85	115	57.6665
89	5013	2217.9	139	54.7832
90	4950	2188.5	110	52.044
91	5017	2219.1	107	49.4418
92	4928.5	2192.55	98	46.9697
93	5016	2208.3	102	44.6212
94	4861	2182.8	110	42.3902
95	4871	2154.3	95	40.2707
96	4697.5	2102.25	88	38.2571
97	4691	2100.3	86	36.3443
98	4610	2076	81	34.5271
99	4454	2018.7	71	32.8007
100	4420	2008.5	50	31.1607
101	4380	1986	63	29.6026
102	4454	2008.2	51	28.1225
103	4406	1993.8	57	26.7164
104	4290	1959	57	25.3806
105	4191.5	1929.45	49	24.1115
106	4319.5	1967.85	47	22.906
107	4265.5	1951.65	42	21.7607
108	4277	1955.1	39	20.6726
109	4114	1927.2	42	19.639
110	4010.5	1896.15	40	18.6571
111	4052	1908.6	44	17.7242
112	3997.5	1871.25	44	16.838
113	3967	1872.6	36	15.9961
114	3902	1853.1	31	15.1963
115	3800.5	1822.65	38	14.4365
116	3714	1796.7	23	13.7146
117	3643.5	1775.55	35	13.0289
118	3626.5	1759.95	28	12.3775
119	3539	1733.7	24	11.7586
120	3489.5	1718.85	18	11.1707
121	3373.5	1684.05	27	10.6121
122	3359.5	1679.85	11	10.0815
123	3364	1681.2	17	9.57745
124	3337	1673.1	13	9.09858
125	3304	1663.2	14	8.64365
126	3273.5	1654.05	17	8.21147
127	3261.5	1650.45	16	7.80089
128	3257.5	1649.25	15	7.41085
129	3229.5	1640.85	17	7.04031
130	3178	1625.4	12	6.68829
131	3166.5	1621.95	9	6.35388
132	3153.5	1618.05	16	6.03618
133	3128.5	1589.55	12	5.73437
134	3103.5	1582.05	9	5.44765
135	3077.5	1574.25	6	5.17527
136	3053.5	1567.05	7	4.91651
137	3050.5	1566.15	9	4.67068
138	3013.5	1555.05	7	4.43715
139	2987.5	1547.25	11	4.21529
140	2979.5	1544.85	3	4.00453
141	2975	1543.5	7	3.8043
142	2959	1538.7	12	3.61408
143	2932.5	1530.75	11	3.43338
144	2903.5	1522.05	11	3.26171
145	2890.5	1518.15	8	3.09863
146	2856.5	1507.95	8	2.94369
147	2854.5	1507.35	6	2.79651
148	2823	1497.9	8	2.65668
149	2808	1493.4	5	2.52385
150	2807	1493.1	8	2.39766
151	2797.5	1490.25	5	2.27777
152	2797.5	1490.25	1	2.16389
153	2787.5	1487.25	5	2.05569
154	2778.5	1484.55	6	1.95291
155	2767.5	1481.25	6	1.85526
156	2755.5	1477.65	6	1.7625
157	2746	1474.8	6	1.67437
158	2745	1474.5	5	1.59066
159	2737	1472.1	6	1.51112
160	2734	1471.2	4	1.43557
161	2727	1469.1	6	1.36379
162	2716.5	1465.95	7	1.2956
163	2712.5	1464.75	5	1.23082
164	2707.5	1463.25	6	1.16928
165	2678	1454.4	10	1.11081
166	2668	1451.4	5	1.05527
167	2653.5	1447.05	5	1.00251
