Iteration	HPWL	Cost	Moves	T
START	3798.5	1524.55	0	5000
1	4439	1955.4	199	5000
2	4190.5	1880.85	200	4750
3	4599.5	2157.55	202	4512.5
4	4408	1930.7	203	4286.88
5	3843.5	1699.75	203	4072.53
6	4119	1859.4	202	3868.9
7	4360	2031.8	199	3675.46
8	4209.5	2009.75	202	3491.69
9	4163.5	1895.85	199	3317.1
10	4348.5	1920.55	201	3151.25
11	4432.5	1914.95	200	2993.68
12	4343	1911.2	201	2844
13	4413.5	2094.05	198	2701.8
14	4259.5	1886.15	200	2566.71
15	4361.5	1939.85	197	2438.37
16	4339.5	1925.55	198	2316.46
17	4316.5	1980.25	200	2200.63
18	4011.5	1796.35	198	2090.6
19	4101	1815.5	202	1986.07
20	4255.5	1854.15	199	1886.77
21	4164	1896	200	1792.43
22	4068	1813.3	199	1702.81
23	4137	1787.8	195	1617.67
24	4082.5	1763.75	200	1536.78
25	4143	1843.5	197	1459.95
26	4325	1928.9	192	1386.95
27	4231	1893	200	1317.6
28	4240	1803.3	199	1251.72
29	4199	1737.1	194	1189.13
30	4136.5	1926.25	195	1129.68
31	4316.5	1872.45	199	1073.19
32	4545.5	2018.15	198	1019.53
33	4288	1894.7	196	968.557
34	4281.5	1931.25	193	920.13
35	4182	1770.5	189	874.123
36	4084.5	1779.75	195	830.417
37	3850	1655.5	191	788.896
38	4173.5	1767.95	190	749.451
39	4325.5	1913.65	189	711.979
40	4357.5	1923.25	196	676.38
41	4445.5	1926.55	191	642.561
42	4227.5	1899.65	196	610.433
43	4368.5	2034.35	192	579.911
44	4199.5	1883.55	189	550.916
45	4108	1917.7	190	523.37
46	3915	1721.2	192	497.201
47	4080	1747.6	181	472.341
48	4175.5	1783.95	189	448.724
49	3822.5	1608.75	182	426.288
50	3809.5	1612.55	179	404.974
51	4101	1715.4	181	384.725
52	3739.5	1722.45	178	365.489
53	3882	1665.1	181	347.214
54	3723.5	1594.45	173	329.853
55	3825.5	1594.25	173	313.361
56	3884	1611.8	173	297.693
57	4176.5	1761.15	177	282.808
58	3898	1646.8	160	268.668
59	3730	1581	166	255.234
60	3742.5	1577.05	160	242.473
61	3872.5	1639.15	166	230.349
62	4038.5	1758.25	169	218.832
63	3855	1664.7	175	207.89
64	3759.5	1605.25	167	197.495
65	3969	1683.5	156	187.621
66	3732	1535.4	155	178.24
67	3892.5	1614.35	153	169.328
68	3649	1525.9	159	160.861
69	3704.5	1557.95	157	152.818
70	3729	1557.6	162	145.177
71	3605	1497.3	142	137.918
72	3712	1544.8	143	131.023
73	3724	1548.4	146	124.471
74	3494.5	1464.15	149	118.248
75	3800.5	1555.95	142	112.335
76	3738.5	1560.45	138	106.719
77	3762	1582.9	136	101.383
78	3446	1449.6	126	96.3136
79	3569	1509.6	127	91.4979
80	3679	1504.1	124	86.923
81	3613	1530.5	123	82.5769
82	3723	1532.7	127	78.448
83	3732.5	1574.05	116	74.5256
84	3406	1483.8	129	70.7993
85	3539.5	1493.05	110	67.2594
86	3661	1529.5	121	63.8964
87	3380	1414.4	117	60.7016
88	3420	1411	109	57.6665
89	3273.5	1382.45	116	54.7832
90	3284	1385.6	87	52.044
91	3435.5	1415.65	103	49.4418
92	3395.5	1388.25	98	46.9697
93	3189	1326.3	91	44.6212
94	3337	1370.7	84	42.3902
95	3297.5	1374.25	94	40.2707
96	3328	1383.4	85	38.2571
97	3225	1352.5	91	36.3443
98	3209	1347.7	81	34.5271
99	3145.5	1328.65	74	32.8007
100	3205	1331.1	60	31.1607
101	3008	1272	67	29.6026
102	3006	1271.4	68	28.1225
103	2959.5	1257.45	51	26.7164
104	2892.5	1237.35	38	25.3806
105	2849	1224.3	58	24.1115
106	2712	1183.2	49	22.906
107	2719.5	1170.05	34	21.7607
108	2670	1155.2	36	20.6726
109	2565	1123.7	32	19.639
110	2580.5	1128.35	42	18.6571
111	2569.5	1125.05	40	17.7242
112	2451.5	1089.65	39	16.838
113	2465.5	1093.85	31	15.9961
114	2447.5	1088.45	29	15.1963
115	2329.5	1053.05	32	14.4365
116	2317.5	1049.45	22	13.7146
117	2296.5	1043.15	25	13.0289
118	2292	1041.8	23	12.3775
119	2276	1037	28	11.7586
120	2193	1012.1	23	11.1707
121	2199.5	1014.05	16	10.6121
122	2139	995.9	21	10.0815
123	2162	1002.8	12	9.57745
124	2143.5	997.25	11	9.09858
125	2074.5	976.55	12	8.64365
126	2030.5	963.35	23	8.21147
127	2008	956.6	17	7.80089
128	1996	953	13	7.41085
129	1982	948.8	8	7.04031
130	1951.5	939.65	8	6.68829
131	1920	930.2	12	6.35388
132	1909	926.9	9	6.03618
133	1909	926.9	10	5.73437
134	1892	921.8	10	5.44765
135	1895	922.7	7	5.17527
136	1876	917	10	4.91651
137	1854.5	910.55	6	4.67068
138	1846	908	5	4.43715
139	1834	904.4	10	4.21529
140	1832	903.8	5	4.00453
141	1822	900.8	14	3.8043
142	1818	899.6	3	3.61408
143	1819	899.9	7	3.43338
144	1812	897.8	7	3.26171
145	1814	898.4	4	3.09863
146	1796	893	7	2.94369
147	1781	888.5	6	2.79651
148	1773	886.1	2	2.65668
149	1766	884	6	2.52385
150	1766.5	884.15	3	2.39766
151	1761	882.5	7	2.27777
152	1755	880.7	5	2.16389
153	1746	878	4	2.05569
154	1733.5	874.25	5	1.95291
155	1734.5	874.55	3	1.85526
156	1734.5	874.55	3	1.7625
157	1732.5	873.95	4	1.67437
158	1724.5	871.55	2	1.59066
159	1710.5	867.35	6	1.51112
160	1706.5	866.15	3	1.43557
161	1691.5	861.65	8	1.36379
162	1691.5	861.65	3	1.2956
163	1685.5	859.85	3	1.23082
164	1677.5	857.45	7	1.16928
165	1673	856.1	4	1.11081
166	1673	856.1	1	1.05527
167	1670	855.2	6	1.00251
