Iteration	HPWL	Cost	Moves	T
START	12238.5	4503.15	0	5000
1	12358.5	4781.7	469	5000
2	12713	4980.45	469	4750
3	13024	5073.75	468	4512.5
4	12338.5	4752.6	469	4286.88
5	12343.5	4765.65	469	4072.53
6	11954	4625.7	468	3868.9
7	12930	4964.7	469	3675.46
8	12492.5	4879.65	469	3491.69
9	12431	4745.7	468	3317.1
10	12582	4814.1	468	3151.25
11	12349.5	4744.35	469	2993.68
12	12126.5	4654.35	469	2844
13	12365	4725.9	468	2701.8
14	12883	5054.55	468	2566.71
15	12722	4960.05	469	2438.37
16	12488	4924.5	467	2316.46
17	12748.5	4921.8	468	2200.63
18	12721	4902	468	2090.6
19	12298.5	4798.35	469	1986.07
20	12230	4777.8	467	1886.77
21	12706	4943.7	468	1792.43
22	12515.5	4828.8	468	1702.81
23	12732	4928.4	468	1617.67
24	12376	4740.75	468	1536.78
25	12444	4772.7	467	1459.95
26	12434	4804.35	469	1386.95
27	12759.5	4844.25	468	1317.6
28	12289	4749.3	469	1251.72
29	12094.5	4690.95	468	1189.13
30	12553.5	4909.5	469	1129.68
31	12024	4612.05	467	1073.19
32	12532.5	4753.05	468	1019.53
33	12880.5	5192.4	468	968.557
34	12257	4716.6	466	920.13
35	12615	4916.4	467	874.123
36	12352.5	4791.45	464	830.417
37	12644.5	4879.05	467	788.896
38	12514	4839.9	466	749.451
39	12664	4838.7	469	711.979
40	12352.5	4779.9	467	676.38
41	12444.5	4876.8	467	642.561
42	12518.5	4991.4	465	610.433
43	12249.5	4668.15	463	579.911
44	12059.5	4622.7	469	550.916
45	12551.5	4874.25	462	523.37
46	12300	4787.25	465	497.201
47	12069.5	4706.55	463	472.341
48	12576	4858.5	464	448.724
49	12726.5	4845.9	466	426.288
50	12292.5	4738.8	461	404.974
51	12817.5	4896.3	462	384.725
52	12503	4721.1	460	365.489
53	12461	4766.25	460	347.214
54	12552	4932.15	465	329.853
55	12671.5	4956.45	464	313.361
56	12466.5	4848.75	464	297.693
57	12180	4693.5	460	282.808
58	12128	4701	463	268.668
59	12472.5	4919.85	462	255.234
60	12350	4686.75	461	242.473
61	12405	4830.3	461	230.349
62	11931.5	4630.5	457	218.832
63	12535.5	4823.25	455	207.89
64	12136	4634.1	459	197.495
65	12369.5	4727.25	459	187.621
66	12433.5	4885.05	461	178.24
67	12356.5	4711.8	451	169.328
68	12221	4636.5	457	160.861
69	12754	4819.5	455	152.818
70	12481.5	4853.25	458	145.177
71	12433	4757.85	461	137.918
72	12094.5	4702.5	448	131.023
73	12644	4809.6	456	124.471
74	12375	4832.85	455	118.248
75	11986	4716.15	454	112.335
76	11979	4679.4	438	106.719
77	11882.5	4534.95	445	101.383
78	12454	4775.7	443	96.3136
79	12189.5	4707.9	451	91.4979
80	12195	4674.9	451	86.923
81	12567	4855.8	447	82.5769
82	11973	4654.5	436	78.448
83	11965	4582.8	444	74.5256
84	11756	4508.55	444	70.7993
85	12337.5	4810.05	442	67.2594
86	12065.5	4566.75	446	63.8964
87	12369.5	4681.05	435	60.7016
88	12675.5	4819.05	431	57.6665
89	12083.5	4687.65	430	54.7832
90	12069.5	4544.85	432	52.044
91	12017.5	4575.45	420	49.4418
92	12058.5	4564.65	419	46.9697
93	12089.5	4643.25	431	44.6212
94	12040.5	4536.15	424	42.3902
