Iteration	HPWL	Cost	Moves	T
START	32826.5	11247.6	0	5000
1	33918.5	12117	937	5000
2	35581.5	12570.7	938	4750
3	34765.5	12431.3	934	4512.5
4	35565.5	12565.9	938	4286.88
5	34471	12327.9	935	4072.53
6	34063.5	12160.5	934	3868.9
7	35006.5	12398.2	934	3675.46
8	34975	12689.8	937	3491.69
9	34573	12238.1	936	3317.1
10	34620.5	12312.5	937	3151.25
11	34638.5	12348	935	2993.68
12	34810	12535	936	2844
13	34731.5	12240.5	936	2701.8
14	34576	12239	936	2566.71
15	34779.5	12465.6	936	2438.37
16	34410	12279.5	936	2316.46
17	35234	12496.6	934	2200.63
18	34861	12459.9	936	2090.6
19	34977.5	12795.9	937	1986.07
20	35177	12675.1	936	1886.77
21	34927.5	12585.2	934	1792.43
22	35215.5	12506.1	936	1702.81
23	34582.5	12436.6	935	1617.67
24	34422.5	12177.9	937	1536.78
25	34568.5	12281.9	934	1459.95
26	34850	12306.1	936	1386.95
27	35358.5	12398.5	938	1317.6
28	34326	12103.8	934	1251.72
29	34633.5	12256.2	934	1189.13
30	34751	12532.3	931	1129.68
31	34277.5	12134.4	935	1073.19
32	35639.5	12633.3	935	1019.53
33	35273	12568.5	932	968.557
34	35158	12428.6	932	920.13
35	33137.5	11942.9	929	874.123
36	33987.5	12152.8	934	830.417
37	34890.5	12574.1	932	788.896
38	33935.5	12227.4	934	749.451
39	34973.5	12508.8	929	711.979
40	33624	11697.5	930	676.38
41	34989	12408	930	642.561
42	34574	12479.2	933	610.433
43	34028	12255.2	934	579.911
44	35040.5	12378.4	932	550.916
45	34808	12263.4	927	523.37
46	34505.5	12157.6	924	497.201
47	33594.5	12125.1	923	472.341
48	34508.5	12068.2	925	448.724
49	34319	12417.7	926	426.288
50	34088	11987.2	926	404.974
51	34394	12214.5	924	384.725
52	33779.5	11939.9	923	365.489
53	34414.5	12160.5	926	347.214
54	34872.5	12358	922	329.853
55	34264.5	12070.3	926	313.361
