-------------------Chip Info----------------------

Bounding Chip area: 7310
Bounding Chip dimensions: 86x85


Actual Chip area: 7480
Actual Chip dimensions: 88x85

Initial HPWL: 191188
After Annealing HPWL: 136356
Annealing Execution Time: 1953.77s

-------------------Gate Info----------------------
INP-1: x=61, y=9
INP-18: x=78, y=0
INP-35: x=55, y=75
INP-52: x=77, y=77
INP-69: x=57, y=45
INP-86: x=36, y=48
INP-103: x=6, y=3
INP-120: x=30, y=34
INP-137: x=12, y=0
INP-154: x=77, y=75
INP-171: x=80, y=57
INP-188: x=21, y=72
INP-205: x=6, y=61
INP-222: x=67, y=14
INP-239: x=15, y=83
INP-256: x=70, y=21
INP-273: x=21, y=60
INP-290: x=24, y=50
INP-307: x=73, y=77
INP-324: x=54, y=11
INP-341: x=68, y=81
INP-358: x=36, y=37
INP-375: x=30, y=81
INP-392: x=82, y=76
INP-409: x=30, y=84
INP-426: x=33, y=22
INP-443: x=27, y=35
INP-460: x=15, y=32
INP-477: x=58, y=17
INP-494: x=81, y=12
INP-511: x=21, y=9
INP-528: x=16, y=0
OUTP-545: x=54, y=65
OUTP-1581: x=39, y=17
OUTP-1901: x=72, y=51
OUTP-2223: x=22, y=72
OUTP-2548: x=76, y=6
OUTP-2877: x=86, y=37
OUTP-3211: x=36, y=73
OUTP-3552: x=30, y=18
OUTP-3895: x=19, y=3
OUTP-4241: x=9, y=63
OUTP-4591: x=9, y=5
OUTP-4946: x=36, y=15
OUTP-5308: x=79, y=1
OUTP-5672: x=82, y=40
OUTP-5971: x=66, y=20
OUTP-6123: x=73, y=78
OUTP-6150: x=81, y=76
OUTP-6160: x=46, y=18
OUTP-6170: x=60, y=30
OUTP-6180: x=37, y=37
OUTP-6190: x=6, y=57
OUTP-6200: x=54, y=6
OUTP-6210: x=69, y=19
OUTP-6220: x=67, y=79
OUTP-6230: x=75, y=38
OUTP-6240: x=49, y=81
OUTP-6250: x=81, y=74
OUTP-6260: x=15, y=39
OUTP-6270: x=30, y=36
OUTP-6280: x=70, y=67
OUTP-6287: x=21, y=42
OUTP-6288: x=60, y=33
AND-545: x=75, y=49
AND-546: x=62, y=4
AND-549: x=6, y=55
AND-552: x=75, y=81
AND-555: x=15, y=35
AND-558: x=6, y=60
AND-561: x=21, y=33
AND-564: x=6, y=22
AND-567: x=81, y=4
AND-570: x=77, y=57
AND-573: x=3, y=1
AND-576: x=55, y=32
AND-579: x=9, y=1
AND-582: x=68, y=39
AND-585: x=19, y=83
AND-588: x=76, y=5
AND-591: x=72, y=41
AND-594: x=10, y=58
AND-597: x=36, y=52
AND-600: x=39, y=2
AND-603: x=63, y=20
AND-606: x=15, y=51
AND-609: x=31, y=81
AND-612: x=52, y=36
AND-615: x=78, y=31
AND-618: x=74, y=80
AND-621: x=3, y=11
AND-624: x=15, y=53
AND-627: x=72, y=69
AND-630: x=36, y=10
AND-633: x=36, y=41
AND-636: x=60, y=43
AND-639: x=43, y=36
AND-642: x=24, y=47
AND-645: x=78, y=71
AND-648: x=84, y=49
AND-651: x=27, y=69
AND-654: x=21, y=30
AND-657: x=0, y=59
AND-660: x=6, y=50
AND-663: x=48, y=68
AND-666: x=67, y=70
AND-669: x=39, y=67
AND-672: x=52, y=48
AND-675: x=81, y=26
AND-678: x=67, y=54
AND-681: x=18, y=68
AND-684: x=78, y=66
AND-687: x=85, y=0
AND-690: x=24, y=15
AND-693: x=65, y=17
AND-696: x=57, y=69
AND-699: x=81, y=13
AND-702: x=37, y=40
AND-705: x=73, y=5
AND-708: x=45, y=16
AND-711: x=79, y=60
AND-714: x=24, y=7
AND-717: x=9, y=49
AND-720: x=0, y=79
AND-723: x=76, y=36
AND-726: x=0, y=41
AND-729: x=18, y=46
AND-732: x=21, y=79
AND-735: x=73, y=36
AND-738: x=69, y=69
AND-741: x=78, y=43
AND-744: x=37, y=34
AND-747: x=64, y=70
AND-750: x=73, y=52
AND-753: x=15, y=27
AND-756: x=60, y=38
AND-759: x=54, y=16
AND-762: x=57, y=67
AND-765: x=65, y=9
AND-768: x=40, y=29
AND-771: x=60, y=53
AND-774: x=39, y=78
AND-777: x=3, y=49
AND-780: x=49, y=36
AND-783: x=34, y=54
AND-786: x=81, y=75
AND-789: x=3, y=12
AND-792: x=0, y=82
AND-795: x=15, y=11
AND-798: x=0, y=63
AND-801: x=36, y=21
AND-804: x=9, y=26
AND-807: x=59, y=18
AND-810: x=13, y=5
AND-813: x=72, y=50
AND-816: x=79, y=2
AND-819: x=12, y=81
AND-822: x=79, y=47
AND-825: x=0, y=45
AND-828: x=39, y=27
AND-831: x=6, y=29
